,0,1,2
A1,0.4120822659277331,0.34430772769028856,0.10799387841606395
A2,-0.1254487534896389,0.6648445391377564,0.1689109018846902
A3,0.0352696851124563,0.40380008976078496,0.3971486076477926
A4,0.42865861123992305,0.42799779088186224,0.04484920529382869
A5,-0.11607249445702657,0.6803699066882896,0.24371847405479227
A6,-0.15092260121172704,0.8055486738962169,0.08067950038213707
A7,-0.0894501650129938,0.6825092205177655,0.17276039347486866
A8,0.22347413178347875,0.12660241130562983,0.4304080793352131
A9,0.11734311828153673,0.1960283398812209,0.5642636160939141
A10,0.0010493839572111412,0.1220684567213689,0.6637577056484857
A11,0.34238981675205643,-0.18815749671695517,0.7171128168809392
A12,0.5083717376104466,-0.01755239015109458,0.3925907941768717
A13,-0.12679470432696469,0.42053553140183986,0.5800405272066104
A14,0.18193980311527855,0.1776955628500957,0.5121233581202892
A15,0.29705250202532507,0.2604021109232128,0.2716168680839052
A16,0.2211741960411113,0.7151528412731876,-0.1529843705671646
A17,0.4148102465584516,0.38649550160287066,-0.005545088226507391
A18,0.7615023512199499,-0.10891270672332537,0.19145948929669646
A19,0.5133748071378892,-0.020635160625208208,0.35554157114691587
A20,0.4484380046705795,0.36250537426704255,0.06903178026173948
A21,0.5032060612940414,0.31030864168425637,0.07217399793663054
A22,0.3464124153255006,0.5552079362579803,-0.05403026989393075
A23,0.47147182640753543,0.5922939681796809,-0.23022622801178044
A24,0.165678984449927,0.5480608299378713,0.16820545998888528
A25,0.4430083845283478,0.504576684273906,-0.09257530416499449
A26,0.05910814852994806,0.6321757624366738,0.10110593476779917
A27,0.630301003121854,0.017861611455320038,0.23667188208872025
A28,0.7422870775148507,-0.0027657744754233968,0.1027241675758678
A29,0.8009668031776757,-0.011036157816475722,-0.00133340765054958
A30,0.9375976860680351,-0.131093214577458,0.030790175451884023
