,0,1
K1,-0.1417438926906265,0.57117283956519
K2,0.30831030526947284,0.2581142453888128
K3,-0.1831035972062364,0.8904531579466758
K4,-0.10811324231741054,0.767788590065707
K5,0.407709596501127,0.3809190428015597
K6,0.4240682236179457,0.2283597476325381
K7,0.6963039367611253,-0.09724760582896468
K8,0.29282172228447645,0.4719321454453185
K9,0.1727234427854934,0.5388233758445701
K10,0.47088283298239064,0.2754904416514875
K11,0.6797056923828252,0.005298582154235119
K12,0.1481720151936191,0.45371531374725577
K13,0.18043658696469383,0.4903519662105038
K14,0.5878318829251764,0.2262207233375411
K15,0.612002908191105,0.14209330454144473
K16,0.5504498576881723,0.18859342893371212
K17,0.7428605193870937,0.005204370923294423
K18,0.7509784496018194,-0.03775504901164061
K19,0.8839737395778352,-0.2176273527291834
K20,0.8703204347728919,-0.14035275950670198
